ID,LONG,LAT,SETCENS,AREAP,CODDIST,DISTRITO,CODSUBPREF,SUBPREF,REGIAO5,REGIAO8,NOME,ESPACO,ENDERECO,TELEFONE,BAIRRO,CEP,CT_TIPO,CT_DEPADM,INAUGURACAO,ASSENTOS
1362,-46682873,-23525633,355030860000138,3550308005057,61,PERDIZES,8,LAPA,Oeste,Oeste,SESC Pompeia,Teatro,"R Clélia, 93",3871-7700,Lapa,,11,4,,400
1363,-46660696,-23604467,355030832000017,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Citibank Hall,(ANTIGO DIREC TV),"Al dos Jamaris, 213",6846-6040,Moema,,11,4,,1600
1364,-46655376,-23584630,355030832000011,3550308005049,53,MOEMA,12,VILA MARIANA,Sul,Sul 1,Auditorio Ibirapuera,,"Av Pedro Álvares Cabral, s/n, portão 2",6846-6000,Parque Ibirapuera,,11,4,,800
1365,-46654035,-23563066,355030845000098,3550308005023,44,JARDIM PAULISTA,11,PINHEIROS,Oeste,Oeste,Centro Cultural FIESP,Teatro Popular do SESI,"Av Paulista, 1.313",3146-7405,Jardim Paulista,,11,4,,460
1366,-46645258,-23570202,355030890000197,3550308005022,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,SESC Paulista,,"Av Paulista, 119",3179-3700,Bela Vista,,11,4,,230
1367,-46650195,-23563240,355030807000029,3550308005011,07,BELA VISTA,9,SE,Centro,Centro,Maksoud Plaza,,"Al Campinas, 150",3145-8000,Bela Vista,,11,4,,420
1368,-46643666,-23581961,355030890000101,3550308005021,92,VILA MARIANA,12,VILA MARIANA,Sul,Sul 1,SESC Vila Mariana,Teatro,"R Pelotas, 141",5080-3147/,Vila Mariana,,11,4,,645
1369,-46658139,-23557679,355030826000108,3550308005013,26,CONSOLACAO,9,SE,Centro,Centro,Crowne Plaza,,"R Frei Caneca, 1.360",3289-0985,Consolação,,11,4,,153
1370,-46649783,-23545570,355030826000058,3550308005012,26,CONSOLACAO,9,SE,Centro,Centro,SESC Consolação,Hall de Conviv?ncia,"R Dr Vila Nova, 245",3234-3077/,Consolação,,11,4,,100
1371,-46645394,-23548606,355030866000030,3550308005002,67,REPUBLICA,9,SE,Centro,Centro,Teatro Cultura Artistica,Sala Esther Mesquita,"R Nestor Pestana, 196",3258-3616/,República,,11,4,,1156
